policy_number,transaction_type,policy_status,policy_issuance_type,policy_term_yrs,product_uin,product_name,plan_name,member_id,vehicle_id,policy_type,policy_procurement_area,policy_issue_date,policy_start_date,policy_end_date,policy_expiry_date,policy_cancellation_termination_date,policy_renewal_indicator,previous_policy_number,first_policy_number,joining_date,renewal_date,total_premium_amt,od_premium_amt,tp_premium_amt,premium_loading_indicator,loading_description,total_loading_amount,premium_paid_till_date,sum_insured_amt,insured_declared_value_amt,basic_premium_rate,no_claim_bonus,deductible_compulsory_amt,deductible_voluntary_amt,zero_depreciation_flag,engine_protect_flag,rti_flag,roadside_assist_flag,key_protect_flag,pa_other_driver_flag,pa_paid_driver_flag,pa_passenger_flag,pa_owner_driver_limit_amt,distribution_channel,agent_id,partner_id,underwriting_approval_id,payment_frequency,covered_vehicle_usage,insurer_proposer_id,proposer_id,proposer_risk_commencement_date,proposer_risk_end_date,proposer_mobile_no
POL-0012432,PR,In Force (IF),Standard (S),1,UIN-837,Motor Insurance,Comprehensive,MEM-11250,VEH-14729,Comprehensive,Urban,2025-07-25,2025-07-25,2026-07-25,2026-08-01,,Y,POL-6520002,POL-1771765,2025-07-25,2026-07-25,12451.32,7713.65,4737.67,N,,0.0,12451.32,390556.78,390556.78,0.0359097935404326,45,0,2000,0,0,1,1,0,0,0,1,1500000,Direct Online,AG-1075,PT-1510,UW-1874,Annually,Private,IP-66360,MEM-11250,2025-07-25,2026-07-25,98130333150
POL-0012433,PR,In Force (IF),Standard (S),1,UIN-306,Motor Insurance,Comprehensive,MEM-11058,VEH-14960,Comprehensive,Metro,2025-07-07,2025-07-07,2026-07-07,2026-07-11,,Y,POL-7252181,POL-2080954,2025-07-07,2026-07-07,11149.39,5366.97,4846.43,Y,NCB declaration error,935.99,11149.39,528137.78,528137.78,0.0203241025289267,50,1000,1500,1,1,0,0,0,0,1,0,1500000,Broker,AG-1302,PT-1052,UW-1201,Annually,Private,IP-12268,MEM-11058,2025-07-07,2026-07-07,99655885552
POL-0012434,PR,In Force (IF),Standard (S),1,UIN-387,Motor Insurance,Standalone OD,MEM-12587,VEH-13776,Stand-alone OD,Urban,2025-01-25,2025-01-25,2026-01-25,2026-02-01,,Y,POL-3024432,POL-4268174,2025-01-25,2026-01-25,7224.33,7224.33,0.0,N,,0.0,7224.33,481913.99,481913.99,0.0272562185543257,45,700,1500,0,0,0,0,0,0,1,0,1500000,Bancassurance,AG-1475,PT-1381,UW-1142,Annually,Private,IP-72557,MEM-12587,2025-01-25,2026-01-25,98299709457
POL-0012435,NB,In Force (IF),Underwritten (U),1,UIN-989,Motor Insurance,Third-Party,MEM-10754,VEH-13840,Third-Party Only,Rural,2025-04-09,2025-04-09,2026-04-09,2026-04-10,,Y,,POL-0012435,2025-04-09,2026-04-09,2425.37,0.0,2425.37,N,,0.0,2425.37,720476.0,720476.0,0.0197147139464614,0,700,0,0,0,0,1,0,1,0,1,1500000,Bancassurance,AG-1794,PT-1555,UW-1159,Annually,Private,IP-44357,MEM-10754,2025-04-09,2026-04-09,99420844757
POL-0012436,PR,In Force (IF),Standard (S),1,UIN-569,Motor Insurance,Comprehensive,MEM-10326,VEH-10482,Comprehensive,Rural,2025-10-12,2025-10-12,2026-10-12,2026-10-13,,Y,POL-9145989,POL-2188604,2025-10-12,2026-10-12,22488.58,18515.88,3972.7,N,,0.0,22488.58,1210123.3,1210123.3,0.0306016345823602,50,0,1000,0,1,0,1,0,1,0,0,1500000,Direct Online,AG-1117,PT-1226,UW-1849,Annually,Private,IP-22675,MEM-10326,2025-10-12,2026-10-12,99492192386
POL-0012437,PR,In Force (IF),Underwritten (U),1,UIN-269,Motor Insurance,Comprehensive,MEM-11171,VEH-11321,Comprehensive,Metro,2025-01-10,2025-01-10,2026-01-10,2026-01-13,,Y,POL-6299523,POL-8179598,2025-01-10,2026-01-10,14302.44,10839.53,2323.64,Y,NCB declaration error,1139.27,14302.44,649090.33,649090.33,0.0256916551215293,35,1000,0,1,1,0,1,0,0,0,1,1500000,Direct Online,AG-1156,PT-1597,UW-1985,Annually,Private,IP-87154,MEM-11171,2025-01-10,2026-01-10,99602277319
POL-0012438,NB,In Force (IF),Standard (S),1,UIN-901,Motor Insurance,Standalone OD,MEM-10537,VEH-11726,Stand-alone OD,Urban,2025-07-11,2025-07-11,2026-07-11,2026-07-15,,Y,,POL-0012438,2025-07-11,2026-07-11,19895.92,18650.02,0.0,Y,Young driver surcharge,1245.9,19895.92,632025.55,632025.55,0.0295083343966606,0,700,2000,0,0,0,0,0,0,0,1,1500000,Direct Online,AG-1398,PT-1854,UW-1155,Annually,Private,IP-11865,MEM-10537,2025-07-11,2026-07-11,99273431614
POL-0012439,NB,In Force (IF),Standard (S),1,UIN-259,Motor Insurance,Standalone OD,MEM-13213,VEH-12174,Stand-alone OD,Rural,2024-11-19,2024-11-19,2025-11-19,2025-11-23,,Y,,POL-0012439,2024-11-19,2025-11-19,13017.31,13017.31,0.0,X,,0.0,13017.31,712753.86,712753.86,0.0182634039612112,0,0,2000,0,0,0,0,0,0,1,0,1500000,Agent,AG-1574,PT-1759,UW-1681,Annually,Private,IP-37811,MEM-13213,2024-11-19,2025-11-19,98326288954
POL-0012440,NB,In Force (IF),Standard (S),1,UIN-370,Motor Insurance,Comprehensive,MEM-13380,VEH-10692,Comprehensive,Urban,2025-01-02,2025-01-02,2026-01-02,2026-01-05,,Y,,POL-0012440,2025-01-02,2026-01-02,11778.69,7028.39,4750.3,X,,0.0,11778.69,404006.51,404006.51,0.017396722759704,0,500,1500,1,1,0,0,0,0,0,0,1500000,Agent,AG-1808,PT-1160,UW-1557,Annually,Private,IP-96411,MEM-13380,2025-01-02,2026-01-02,98593490072
POL-0012441,PR,In Force (IF),Standard (S),1,UIN-916,Motor Insurance,Comprehensive,MEM-10088,VEH-10968,Comprehensive,Urban,2025-05-22,2025-05-22,2026-05-22,2026-05-26,,Y,POL-9477452,POL-1552076,2025-05-22,2026-05-22,15372.12,9361.66,6010.46,N,,0.0,15372.12,678793.5,678793.5,0.0212178854656117,35,1000,2000,1,1,0,0,0,1,1,0,1500000,Broker,AG-1016,PT-1736,UW-1950,Annually,Private,IP-64991,MEM-10088,2025-05-22,2026-05-22,97747852202
POL-0012442,PR,Expired (XP),Standard (S),1,UIN-112,Motor Insurance,Comprehensive,MEM-11215,VEH-14965,Comprehensive,Metro,2024-08-17,2024-08-17,2025-08-17,2025-08-24,,N,POL-2866116,POL-9142381,2024-08-17,,30594.12,25278.8,5315.32,X,,0.0,30594.12,1407449.69,1407449.69,0.0179607112193318,0,1000,0,1,0,1,1,0,1,1,1,1500000,Agent,AG-1905,PT-1784,UW-1832,Annually,Private,IP-19028,MEM-11215,2024-08-17,2025-08-17,97409657909
POL-0012443,PR,In Force (IF),Standard (S),1,UIN-984,Motor Insurance,Standalone OD,MEM-11386,VEH-13174,Stand-alone OD,Metro,2025-07-08,2025-07-08,2026-07-08,2026-07-08,,Y,POL-3711868,POL-7925770,2025-07-08,2026-07-08,12235.99,12235.99,0.0,N,,0.0,12235.99,413137.65,413137.65,0.0394896271862893,25,700,1000,0,0,0,0,0,0,0,1,1500000,Broker,AG-1070,PT-1765,UW-1742,Annually,Private,IP-18632,MEM-11386,2025-07-08,2026-07-08,97813051452
POL-0012444,NB,In Force (IF),Standard (S),1,UIN-723,Motor Insurance,Standalone OD,MEM-12618,VEH-11587,Stand-alone OD,Urban,2025-06-16,2025-06-16,2026-06-16,2026-06-16,,Y,,POL-0012444,2025-06-16,2026-06-16,10888.02,10888.02,0.0,X,,0.0,10888.02,342316.22,342316.22,0.0318069094199469,0,1000,2000,0,0,0,1,0,1,0,1,1500000,Bancassurance,AG-1338,PT-1027,UW-1103,Annually,Private,IP-31636,MEM-12618,2025-06-16,2026-06-16,97440280595
POL-0012445,NB,In Force (IF),Underwritten (U),1,UIN-168,Motor Insurance,Third-Party,MEM-11413,VEH-12493,Third-Party Only,Urban,2025-05-30,2025-05-30,2026-05-30,2026-06-03,,Y,,POL-0012445,2025-05-30,2026-05-30,7468.28,0.0,7468.28,X,,0.0,7468.28,634574.07,634574.07,0.0432149926453736,0,700,0,0,0,0,0,0,0,1,1,1500000,Bancassurance,AG-1612,PT-1024,UW-1206,Annually,Private,IP-45982,MEM-11413,2025-05-30,2026-05-30,97784618536
POL-0012446,PR,Expired (XP),Underwritten (U),1,UIN-905,Motor Insurance,Third-Party,MEM-10373,VEH-11367,Third-Party Only,Metro,2024-05-24,2024-05-24,2025-05-24,2025-05-30,,N,POL-5013240,POL-8075392,2024-05-24,,3784.75,0.0,3312.39,Y,NCB declaration error,472.36,3784.75,456919.56,456919.56,0.017532036938744,0,0,0,0,0,0,0,0,1,0,0,1500000,Broker,AG-1949,PT-1511,UW-1347,Annually,Private,IP-70648,MEM-10373,2024-05-24,2025-05-24,99086936897
POL-0012447,PR,In Force (IF),Underwritten (U),1,UIN-863,Motor Insurance,Comprehensive,MEM-13281,VEH-12952,Comprehensive,Metro,2025-10-08,2025-10-08,2026-10-08,2026-10-10,,Y,POL-3326770,POL-8559648,2025-10-08,2026-10-08,16396.05,12246.67,4149.38,N,,0.0,16396.05,988200.01,988200.01,0.0165238712608088,25,700,0,1,0,1,0,0,1,0,0,1500000,Direct Online,AG-1798,PT-1464,UW-1974,Annually,Private,IP-10259,MEM-13281,2025-10-08,2026-10-08,98860212565
POL-0012448,PR,In Force (IF),Standard (S),1,UIN-851,Motor Insurance,Third-Party,MEM-12326,VEH-14845,Third-Party Only,Urban,2025-09-13,2025-09-13,2026-09-13,2026-09-17,,Y,POL-4801314,POL-3389995,2025-09-13,2026-09-13,1824.27,0.0,1824.27,N,,0.0,1824.27,547975.0,547975.0,0.0187788827645207,45,700,0,0,0,0,0,1,1,0,0,1500000,Bancassurance,AG-1337,PT-1624,UW-1355,Annually,Private,IP-91592,MEM-12326,2025-09-13,2026-09-13,99360427181
POL-0012449,PR,In Force (IF),Underwritten (U),1,UIN-655,Motor Insurance,Comprehensive,MEM-10670,VEH-10391,Comprehensive,Urban,2024-12-18,2024-12-18,2025-12-18,2025-12-20,,Y,POL-3043162,POL-1380486,2024-12-18,2025-12-18,23296.18,18004.98,5291.2,X,,0.0,23296.18,622145.39,622145.39,0.0445233086569024,35,0,2000,0,0,0,1,0,1,0,0,1500000,Direct Online,AG-1151,PT-1418,UW-1142,Annually,Private,IP-72447,MEM-10670,2024-12-18,2025-12-18,97508803822
POL-0012450,NB,In Force (IF),Underwritten (U),1,UIN-484,Motor Insurance,Third-Party,MEM-10289,VEH-13424,Third-Party Only,Rural,2025-06-17,2025-06-17,2026-06-17,2026-06-22,,Y,,POL-0012450,2025-06-17,2026-06-17,3310.85,0.0,3310.85,N,,0.0,3310.85,543263.56,543263.56,0.0406754358068855,0,1000,0,0,0,0,1,0,0,1,0,1500000,Broker,AG-1892,PT-1051,UW-1838,Annually,Private,IP-57576,MEM-10289,2025-06-17,2026-06-17,99218311174
POL-0012451,PR,Expired (XP),Underwritten (U),1,UIN-723,Motor Insurance,Third-Party,MEM-13127,VEH-13308,Third-Party Only,Metro,2023-11-12,2023-11-12,2024-11-11,2024-11-17,,N,POL-9750595,POL-1936699,2023-11-12,,2532.61,0.0,2532.61,N,,0.0,2532.61,519836.53,519836.53,0.0218578382382317,0,700,0,0,0,0,1,0,1,0,0,1500000,Agent,AG-1000,PT-1412,UW-1353,Annually,Private,IP-40341,MEM-13127,2023-11-12,2024-11-11,98830860656
POL-0012452,NB,In Force (IF),Underwritten (U),1,UIN-343,Motor Insurance,Third-Party,MEM-12243,VEH-14912,Third-Party Only,Metro,2025-08-18,2025-08-18,2026-08-18,2026-08-23,,Y,,POL-0012452,2025-08-18,2026-08-18,6530.61,0.0,6530.61,X,,0.0,6530.61,702101.94,702101.94,0.0154934066303451,0,500,0,0,0,0,1,0,1,0,0,1500000,Bancassurance,AG-1160,PT-1243,UW-1318,Annually,Private,IP-26649,MEM-12243,2025-08-18,2026-08-18,98928053404
POL-0012453,PR,Expired (XP),Standard (S),1,UIN-756,Motor Insurance,Third-Party,MEM-10761,VEH-11276,Third-Party Only,Rural,2024-10-04,2024-10-04,2025-10-04,2025-10-09,,N,POL-1186321,POL-6571192,2024-10-04,,2627.88,0.0,2627.88,N,,0.0,2627.88,515429.32,515429.32,0.042062620597721,0,0,0,0,0,0,0,0,1,1,1,1500000,Bancassurance,AG-1918,PT-1469,UW-1830,Annually,Private,IP-65776,MEM-10761,2024-10-04,2025-10-04,97651149783
POL-0012454,PR,In Force (IF),Underwritten (U),1,UIN-788,Motor Insurance,Third-Party,MEM-13383,VEH-14157,Third-Party Only,Urban,2025-09-20,2025-09-20,2026-09-20,2026-09-23,,Y,POL-5904050,POL-2782120,2025-09-20,2026-09-20,7841.17,0.0,7027.19,Y,NCB declaration error,813.98,7841.17,562371.29,562371.29,0.0202186461913988,25,700,0,0,0,0,0,0,0,0,1,1500000,Agent,AG-1925,PT-1158,UW-1758,Annually,Private,IP-36962,MEM-13383,2025-09-20,2026-09-20,98933431021
POL-0012455,NB,In Force (IF),Underwritten (U),1,UIN-845,Motor Insurance,Third-Party,MEM-11303,VEH-11941,Third-Party Only,Rural,2025-03-27,2025-03-27,2026-03-27,2026-04-02,,Y,,POL-0012455,2025-03-27,2026-03-27,2755.82,0.0,2468.69,Y,Young driver surcharge,287.13,2755.82,1781886.52,1781886.52,0.0229467775074617,0,500,0,0,0,0,0,1,0,0,0,1500000,Agent,AG-1144,PT-1021,UW-1612,Annually,Private,IP-65586,MEM-11303,2025-03-27,2026-03-27,98793907003
POL-0012456,PR,In Force (IF),Standard (S),1,UIN-606,Motor Insurance,Third-Party,MEM-10570,VEH-10495,Third-Party Only,Metro,2025-03-18,2025-03-18,2026-03-18,2026-03-25,,Y,POL-5574237,POL-2140581,2025-03-18,2026-03-18,2639.95,0.0,2639.95,N,,0.0,2639.95,447365.0,447365.0,0.0339282668606334,25,0,0,0,0,0,0,0,0,0,0,1500000,Bancassurance,AG-1565,PT-1433,UW-1708,Half-Yearly,Private,IP-28757,MEM-10570,2025-03-18,2026-03-18,98497248285
POL-0012457,PR,In Force (IF),Standard (S),1,UIN-560,Motor Insurance,Comprehensive,MEM-12281,VEH-13262,Comprehensive,Metro,2025-06-20,2025-06-20,2026-06-20,2026-06-22,,Y,POL-3121482,POL-1309219,2025-06-20,2026-06-20,13516.13,7515.03,6001.1,N,,0.0,13516.13,427859.03,427859.03,0.0234190134901467,25,700,2000,0,1,1,1,0,1,1,0,1500000,Direct Online,AG-1966,PT-1102,UW-1890,Annually,Private,IP-14077,MEM-12281,2025-06-20,2026-06-20,99814540319
POL-0012458,PR,In Force (IF),Standard (S),1,UIN-551,Motor Insurance,Third-Party,MEM-11467,VEH-14736,Third-Party Only,Rural,2025-07-17,2025-07-17,2026-07-17,2026-07-24,,Y,POL-8620878,POL-7817410,2025-07-17,2026-07-17,2965.77,0.0,2965.77,N,,0.0,2965.77,762130.78,762130.78,0.0210040107346378,50,700,0,0,0,0,0,0,0,1,0,1500000,Bancassurance,AG-1515,PT-1253,UW-1764,Annually,Private,IP-27449,MEM-11467,2025-07-17,2026-07-17,97843495301
POL-0012459,NB,In Force (IF),Underwritten (U),1,UIN-221,Motor Insurance,Comprehensive,MEM-12538,VEH-11406,Comprehensive,Rural,2025-06-27,2025-06-27,2026-06-27,2026-06-29,,Y,,POL-0012459,2025-06-27,2026-06-27,19651.88,11054.4,6073.07,Y,NCB declaration error,2524.41,19651.88,481759.46,481759.46,0.0229458944664644,0,1000,1000,0,0,1,0,0,0,1,1,1500000,Broker,AG-1190,PT-1815,UW-1054,Annually,Private,IP-20608,MEM-12538,2025-06-27,2026-06-27,98104899441
POL-0012460,PR,In Force (IF),Underwritten (U),1,UIN-705,Motor Insurance,Standalone OD,MEM-11167,VEH-13629,Stand-alone OD,Urban,2025-09-25,2025-09-25,2026-09-25,2026-09-25,,Y,POL-5580778,POL-9760687,2025-09-25,2026-09-25,10032.3,9478.63,0.0,Y,NCB declaration error,553.67,10032.3,585014.41,585014.41,0.0294588773431343,45,700,0,0,0,0,1,0,1,1,0,1500000,Agent,AG-1016,PT-1150,UW-1035,Annually,Private,IP-93444,MEM-11167,2025-09-25,2026-09-25,99390777046
POL-0012461,NB,Terminated (TM),Standard (S),1,UIN-151,Motor Insurance,Comprehensive,MEM-12239,VEH-10258,Comprehensive,Metro,2024-10-02,2024-10-02,2025-10-02,2025-10-08,2025-10-02,X,,POL-0012461,2024-10-02,,41528.89,34903.58,6625.31,N,,0.0,41528.89,1189783.5,1189783.5,0.0293360727523952,0,500,1000,0,0,0,1,0,0,1,0,1500000,Direct Online,AG-1806,PT-1534,UW-1846,Annually,Private,IP-52445,MEM-12239,2024-10-02,2025-10-02,98254776987
POL-0012462,PR,In Force (IF),Standard (S),1,UIN-344,Motor Insurance,Standalone OD,MEM-11909,VEH-10630,Stand-alone OD,Urban,2025-06-05,2025-06-05,2026-06-05,2026-06-05,,Y,POL-6280432,POL-6548382,2025-06-05,2026-06-05,13506.28,13506.28,0.0,N,,0.0,13506.28,623988.21,623988.21,0.0432901900062748,50,500,1500,0,0,0,1,0,0,0,1,1500000,Agent,AG-1560,PT-1825,UW-1895,Annually,Private,IP-68728,MEM-11909,2025-06-05,2026-06-05,99734383034
POL-0012463,NB,Expired (XP),Underwritten (U),1,UIN-408,Motor Insurance,Standalone OD,MEM-10087,VEH-13207,Stand-alone OD,Urban,2024-05-13,2024-05-13,2025-05-13,2025-05-14,,N,,POL-0012463,2024-05-13,,38096.94,38096.94,0.0,X,,0.0,38096.94,1147958.75,1147958.75,0.0331866767663838,0,1000,1000,0,0,0,0,0,0,0,0,1500000,Direct Online,AG-1446,PT-1598,UW-1262,Annually,Private,IP-65713,MEM-10087,2024-05-13,2025-05-13,98227112590
POL-0012464,NB,In Force (IF),Standard (S),1,UIN-613,Motor Insurance,Comprehensive,MEM-12030,VEH-10188,Comprehensive,Metro,2024-12-04,2024-12-04,2025-12-04,2025-12-04,,Y,,POL-0012464,2024-12-04,2025-12-04,8537.74,4966.21,3114.7,Y,High risk zone,456.83,8537.74,302348.03,302348.03,0.0164254864917743,0,0,0,0,0,0,1,0,1,0,0,1500000,Direct Online,AG-1954,PT-1467,UW-1537,Annually,Private,IP-89049,MEM-12030,2024-12-04,2025-12-04,99487480018
POL-0012465,NB,In Force (IF),Standard (S),1,UIN-298,Motor Insurance,Comprehensive,MEM-13451,VEH-12963,Comprehensive,Urban,2025-01-05,2025-01-05,2026-01-05,2026-01-07,,Y,,POL-0012465,2025-01-05,2026-01-05,30076.84,23649.12,6427.72,X,,0.0,30076.84,657819.03,657819.03,0.0359508057305754,0,500,1000,1,0,0,0,0,1,1,0,1500000,Broker,AG-1453,PT-1553,UW-1773,Annually,Private,IP-10197,MEM-13451,2025-01-05,2026-01-05,99897249310
POL-0012466,NB,In Force (IF),Standard (S),1,UIN-835,Motor Insurance,Third-Party,MEM-12691,VEH-12920,Third-Party Only,Urban,2025-06-02,2025-06-02,2026-06-02,2026-06-09,,Y,,POL-0012466,2025-06-02,2026-06-02,3457.17,0.0,3457.17,X,,0.0,3457.17,841260.08,841260.08,0.018151110480913,0,700,0,0,0,0,1,0,1,1,1,1500000,Direct Online,AG-1699,PT-1762,UW-1800,Annually,Private,IP-72100,MEM-12691,2025-06-02,2026-06-02,99130977053
POL-0012467,NB,In Force (IF),Standard (S),1,UIN-411,Motor Insurance,Standalone OD,MEM-11601,VEH-11712,Stand-alone OD,Urban,2025-07-09,2025-07-09,2026-07-09,2026-07-10,,Y,,POL-0012467,2025-07-09,2026-07-09,21402.62,20337.73,0.0,Y,High risk zone,1064.89,21402.62,549065.97,549065.97,0.0370406035221393,0,1000,2000,0,0,0,1,0,0,0,0,1500000,Agent,AG-1678,PT-1876,UW-1854,Annually,Private,IP-46138,MEM-11601,2025-07-09,2026-07-09,98533840654
POL-0012468,NB,In Force (IF),Standard (S),1,UIN-106,Motor Insurance,Comprehensive,MEM-10630,VEH-12392,Comprehensive,Urban,2025-07-16,2025-07-16,2026-07-16,2026-07-18,,Y,,POL-0012468,2025-07-16,2026-07-16,21809.64,12848.29,7138.36,Y,High risk zone,1822.99,21809.640000000003,543667.39,543667.39,0.0236326331703699,0,500,2000,1,0,1,1,1,0,0,0,1500000,Broker,AG-1170,PT-1780,UW-1040,Annually,Private,IP-16735,MEM-10630,2025-07-16,2026-07-16,97445984985
POL-0012469,PR,In Force (IF),Standard (S),1,UIN-491,Motor Insurance,Third-Party,MEM-13477,VEH-11171,Third-Party Only,Metro,2024-12-19,2024-12-19,2025-12-19,2025-12-24,,Y,POL-9679613,POL-6072513,2024-12-19,2025-12-19,3597.36,0.0,3597.36,N,,0.0,3597.36,1699689.03,1699689.03,0.0312851547263487,50,700,0,0,0,0,0,1,0,1,1,1500000,Bancassurance,AG-1598,PT-1078,UW-1224,Annually,Private,IP-11292,MEM-13477,2024-12-19,2025-12-19,97267907183
POL-0012470,PR,In Force (IF),Underwritten (U),1,UIN-949,Motor Insurance,Standalone OD,MEM-13119,VEH-12194,Stand-alone OD,Urban,2025-07-14,2025-07-14,2026-07-14,2026-07-17,,Y,POL-7708568,POL-6170957,2025-07-14,2026-07-14,11905.18,11905.18,0.0,N,,0.0,11905.18,375147.76,375147.76,0.0423128447376544,25,1000,0,0,0,0,1,1,0,0,1,1500000,Direct Online,AG-1149,PT-1242,UW-1228,Annually,Private,IP-20436,MEM-13119,2025-07-14,2026-07-14,98511312547
POL-0012471,PR,In Force (IF),Underwritten (U),1,UIN-275,Motor Insurance,Comprehensive,MEM-11256,VEH-13138,Comprehensive,Metro,2025-04-15,2025-04-15,2026-04-15,2026-04-18,,Y,POL-7650487,POL-7590428,2025-04-15,2026-04-15,6840.1,4659.8,2180.3,N,,0.0,6840.1,384935.88,384935.88,0.0242107927560414,50,1000,2000,1,0,0,1,0,1,0,0,1500000,Direct Online,AG-1991,PT-1035,UW-1415,Annually,Private,IP-91923,MEM-11256,2025-04-15,2026-04-15,97683583460
POL-0012472,NB,In Force (IF),Underwritten (U),1,UIN-198,Motor Insurance,Standalone OD,MEM-12145,VEH-10280,Stand-alone OD,Metro,2025-10-14,2025-10-14,2026-10-14,2026-10-17,,Y,,POL-0012472,2025-10-14,2026-10-14,18184.67,18184.67,0.0,N,,0.0,18184.67,618828.8,618828.8,0.0293856296048723,0,0,1500,0,0,0,1,1,0,0,1,1500000,Bancassurance,AG-1888,PT-1257,UW-1582,Monthly,Private,IP-97431,MEM-12145,2025-10-14,2026-10-14,97802874517
POL-0012473,PR,In Force (IF),Underwritten (U),1,UIN-583,Motor Insurance,Comprehensive,MEM-11759,VEH-11504,Comprehensive,Rural,2025-08-11,2025-08-11,2026-08-11,2026-08-12,,Y,POL-4218822,POL-4660004,2025-08-11,2026-08-11,9701.45,4841.94,4859.51,N,,0.0,9701.45,340248.88,340248.88,0.028461182250277,50,500,0,0,1,0,0,1,0,1,0,1500000,Direct Online,AG-1256,PT-1595,UW-1014,Annually,Private,IP-93599,MEM-11759,2025-08-11,2026-08-11,97946192698
POL-0012474,NB,In Force (IF),Standard (S),1,UIN-722,Motor Insurance,Comprehensive,MEM-13386,VEH-12287,Comprehensive,Urban,2024-11-26,2024-11-26,2025-11-26,2025-12-02,,Y,,POL-0012474,2024-11-26,2025-11-26,20173.71,18163.45,2010.26,X,,0.0,20173.71,732386.69,732386.69,0.0248003500263205,0,0,0,1,0,1,1,0,0,1,1,1500000,Direct Online,AG-1639,PT-1355,UW-1460,Annually,Private,IP-90599,MEM-13386,2024-11-26,2025-11-26,98101711719
POL-0012475,PR,In Force (IF),Underwritten (U),1,UIN-539,Motor Insurance,Third-Party,MEM-11299,VEH-10516,Third-Party Only,Urban,2024-12-27,2024-12-27,2025-12-27,2026-01-02,,Y,POL-5444896,POL-5107955,2024-12-27,2025-12-27,3705.32,0.0,3500.12,Y,NCB declaration error,205.2,3705.32,541333.26,541333.26,0.0153828210979843,20,0,0,0,0,0,0,1,1,1,0,1500000,Broker,AG-1155,PT-1328,UW-1895,Annually,Private,IP-88572,MEM-11299,2024-12-27,2025-12-27,97381849152
POL-0012476,PR,In Force (IF),Underwritten (U),1,UIN-339,Motor Insurance,Comprehensive,MEM-11341,VEH-12399,Comprehensive,Urban,2025-08-20,2025-08-20,2026-08-20,2026-08-23,,Y,POL-6663779,POL-3587276,2025-08-20,2026-08-20,11483.68,7398.16,4085.52,N,,0.0,11483.68,224773.86,224773.86,0.0438850654658041,25,700,0,0,1,0,1,0,0,1,0,1500000,Broker,AG-1966,PT-1281,UW-1406,Annually,Private,IP-56953,MEM-11341,2025-08-20,2026-08-20,99808423292
POL-0012477,PR,Terminated (TM),Underwritten (U),1,UIN-684,Motor Insurance,Third-Party,MEM-11795,VEH-10962,Third-Party Only,Urban,2024-02-06,2024-02-06,2025-02-05,2025-02-09,2025-02-05,X,POL-8207755,POL-4425981,2024-02-06,,1859.0,0.0,1859.0,N,,0.0,1859.0,730566.34,730566.34,0.0301018529099979,0,1000,0,0,0,0,1,0,1,1,1,1500000,Direct Online,AG-1994,PT-1045,UW-1035,Annually,Private,IP-59998,MEM-11795,2024-02-06,2025-02-05,97734539892
POL-0012478,NB,Expired (XP),Underwritten (U),1,UIN-804,Motor Insurance,Standalone OD,MEM-10908,VEH-10658,Stand-alone OD,Urban,2024-06-04,2024-06-04,2025-06-04,2025-06-09,,N,,POL-0012478,2024-06-04,,15576.8,13620.31,0.0,Y,NCB declaration error,1956.49,15576.8,519082.64,519082.64,0.0262391950381369,0,1000,1000,0,0,0,1,0,1,1,0,1500000,Bancassurance,AG-1475,PT-1243,UW-1078,Annually,Private,IP-95367,MEM-10908,2024-06-04,2025-06-04,99633909886
POL-0012479,NB,In Force (IF),Underwritten (U),1,UIN-253,Motor Insurance,Comprehensive,MEM-12567,VEH-13193,Comprehensive,Urban,2024-12-26,2024-12-26,2025-12-26,2025-12-28,,Y,,POL-0012479,2024-12-26,2025-12-26,16375.4,10602.14,4415.57,Y,NCB declaration error,1357.69,16375.4,448330.46,448330.46,0.0236480466128334,0,0,1500,0,1,1,0,0,0,1,1,1500000,Broker,AG-1529,PT-1132,UW-1225,Annually,Private,IP-51339,MEM-12567,2024-12-26,2025-12-26,97271327999
POL-0012480,PR,In Force (IF),Underwritten (U),1,UIN-236,Motor Insurance,Third-Party,MEM-11951,VEH-13476,Third-Party Only,Urban,2025-06-16,2025-06-16,2026-06-16,2026-06-16,,Y,POL-4005355,POL-4735635,2025-06-16,2026-06-16,5819.73,0.0,5468.17,Y,NCB declaration error,351.56,5819.7300000000005,983924.39,983924.39,0.031748184195677,50,700,0,0,0,0,0,0,1,0,1,1500000,Direct Online,AG-1790,PT-1784,UW-1752,Annually,Private,IP-31977,MEM-11951,2025-06-16,2026-06-16,99623806388
POL-0012481,PR,In Force (IF),Standard (S),1,UIN-632,Motor Insurance,Comprehensive,MEM-11014,VEH-12891,Comprehensive,Rural,2025-08-19,2025-08-19,2026-08-19,2026-08-22,,Y,POL-1611215,POL-7250949,2025-08-19,2026-08-19,19726.79,12268.08,7458.71,N,,0.0,19726.79,551750.95,551750.95,0.0296464103003591,25,700,1000,1,0,0,1,0,0,1,0,1500000,Direct Online,AG-1008,PT-1654,UW-1098,Annually,Private,IP-66524,MEM-11014,2025-08-19,2026-08-19,98970758500
